what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1289830713374
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1289830713383
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1289830713395
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1289830713395
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1289830713405
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1289830713457
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1289830713458
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1289830713458
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1289830713474
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1289830713474
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1289830713483
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1289830713484
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1289830713518
os,sysinfo,,,"linux",1289830713526
arch,sysinfo,,,"x86",1289830713526
ws,sysinfo,,,"gtk",1289830713526
locale,sysinfo,,,"en_US",1289830713526
processors,sysinfo,,,"2",1289830713526
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289830713526
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1289830713526
java.specification.name,sysinfo,,,"Java Platform API Specification",1289830713526
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289830713526
java.specification.version,sysinfo,,,"1.6",1289830713526
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289830713526
java.version,sysinfo,,,"1.6.0_22",1289830713526
java.vm.info,sysinfo,,,"mixed mode, sharing",1289830713526
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1289830713526
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289830713526
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289830713526
java.vm.specification.version,sysinfo,,,"1.0",1289830713526
